,carrier,p_nom,year_removed,retrofit,bus
DE0 27 ror,ror,0.25,2057,1957.0,DE0 27
DE0 27 ror,ror,0.16,2057,1957.0,DE0 27
DE0 73 ror,ror,0.033,2057,1957.0,DE0 73
DE0 12 ror,ror,0.13,2057,1957.0,DE0 12
DE0 A1 ror,ror,1.033,2057,1957.0,DE0 A1
DE0 71 ror,ror,0.115,2057,1957.0,DE0 71
DE0 72 ror,ror,0.14,2057,1957.0,DE0 72
DE0 22 ror,ror,1.5590000000000002,2057,1957.0,DE0 22
DE0 27 ror,ror,0.075,2057,1957.0,DE0 27
DE0 21 ror,ror,0.055,2057,1957.0,DE0 21
DE0 12 ror,ror,0.06,2057,1957.0,DE0 12
DE0 22 ror,ror,0.25,2057,1957.0,DE0 22
DE0 11 ror,ror,0.05,2057,1957.0,DE0 11
DE0 22 ror,ror,0.09,2057,1957.0,DE0 22
DE0 22 ror,ror,0.718,2057,1957.0,DE0 22
DE0 11 ror,ror,0.21,2057,1957.0,DE0 11
DE0 11 ror,ror,0.3,2057,1957.0,DE0 11
DE0 27 ror,ror,0.045,2057,1957.0,DE0 27
DE0 23 ror,ror,0.045,2057,1957.0,DE0 23
DE0 23 ror,ror,0.055,2057,1957.0,DE0 23
DE0 23 ror,ror,0.038,2057,1957.0,DE0 23
DE0 14 ror,ror,0.22,2057,1957.0,DE0 14
DE0 24 ror,ror,0.0735,2057,1957.0,DE0 24
DE0 11 ror,ror,0.1,2057,1957.0,DE0 11
DE0 25 ror,ror,0.09,2057,1957.0,DE0 25
DE0 B2 ror,ror,0.17,2057,1957.0,DE0 B2
DE0 22 ror,ror,0.075,2057,1957.0,DE0 22
DE0 27 ror,ror,0.037,2057,1957.0,DE0 27
DE0 11 ror,ror,0.48,2057,1957.0,DE0 11
DE0 72 ror,ror,0.32,2057,1957.0,DE0 72
DE0 72 ror,ror,0.151,2057,1957.0,DE0 72
DE0 13 ror,ror,0.18,2057,1957.0,DE0 13
DE0 D4 ror,ror,0.48,2057,1957.0,DE0 D4
DE0 E0 ror,ror,0.25,2057,1957.0,DE0 E0
DE0 14 ror,ror,0.49,2057,1957.0,DE0 14
DE0 24 ror,ror,0.075,2057,1957.0,DE0 24
DE0 G0 ror,ror,0.25,2057,1957.0,DE0 G0
DE0 D4 ror,ror,0.45,2057,1957.0,DE0 D4
DE0 23 ror,ror,0.038,2057,1957.0,DE0 23
DE0 25 ror,ror,0.115,2057,1957.0,DE0 25
DE0 40 ror,ror,0.065,2057,1957.0,DE0 40
