,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 2 ror,ror,0.25,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.334,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.08,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.39,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.2611,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.11,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 B ror,ror,0.17,DE0 B,1957,1957.0,2057
DE0 1 ror,ror,0.04,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.624,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.3697,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.0342,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
DE0 G ror,ror,0.245,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.5,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.0421,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,47.1,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.06,DE0 7,1957,1957.0,2057
DE0 D ror,ror,0.132,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.41,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.16,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.108,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.32,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,26.56,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,1.3,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.21,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.034,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.26,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.165,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.045,DE0 2,1957,1957.0,2057
DE0 4 ror,ror,0.095,DE0 4,1957,1957.0,2057
DE0 2 ror,ror,0.292,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.056,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.084,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.078,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.099,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.067,DE0 2,1957,1957.0,2057
DE0 E ror,ror,0.32,DE0 E,1957,1957.0,2057
DE0 2 ror,ror,0.135,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.039,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
